Wall time,Step,Value
1768414457.157924,306,111.26815032958984
1768414468.1300085,307,151.54013061523438
1768414477.4008222,308,133.63217163085938
1768414486.6717396,309,146.13827514648438
1768414497.220948,310,131.46755981445312
1768414507.7176769,311,149.0305938720703
1768414516.2059307,312,137.84149169921875
1768414527.0527573,313,147.80406188964844
1768414537.8992226,314,145.31396484375
1768414546.8500395,315,139.88107299804688
1768414555.610851,316,134.6966094970703
1768414568.847747,317,166.50218200683594
1768414581.4544995,318,160.0126190185547
1768414585.4946852,319,108.99232482910156
1768414596.6911883,320,145.62078857421875
1768414607.9799452,321,146.5442352294922
1768414619.9245167,322,144.1062469482422
1768414624.7243512,323,108.41007232666016
1768414633.4867768,324,135.2252197265625
1768414642.1211174,325,134.61813354492188
1768414649.1896083,326,133.79002380371094
1768414657.3470345,327,138.1263427734375
1768414659.964441,328,108.75064849853516
1768414670.3346214,329,153.24586486816406
1768414680.069723,330,143.52427673339844
1768414687.4111698,331,129.2521209716797
1768414693.2110062,332,124.82717895507812
1768414703.274304,333,145.29763793945312
1768414707.7917407,334,119.75961303710938
1768414714.5196304,335,129.87738037109375
1768414716.9837542,336,108.40065002441406
1768414726.2549,337,141.6802520751953
1768414731.3942456,338,123.03823852539062
1768414737.9424942,339,125.72753143310547
1768414745.7846868,340,137.47410583496094
1768414752.3764672,341,126.44984436035156
1768414763.574204,342,146.2481689453125
1768414774.3881655,343,148.94143676757812
1768414786.154141,344,141.09986877441406
1768414790.5246408,345,119.53009796142578
1768414796.617574,346,124.47084045410156
1768414805.5344036,347,140.9683837890625
1768414810.494053,348,118.76692962646484
1768414822.79271,349,165.37828063964844
1768414826.8340049,350,106.30735778808594
1768414830.0908883,351,112.09629821777344
1768414836.0485892,352,127.24861145019531
1768414845.9213579,353,144.30355834960938
1768414854.5245845,354,139.94439697265625
1768414865.3740659,355,155.17501831054688
1768414873.532832,356,126.58229064941406
1768414883.1472998,357,145.02862548828125
1768414890.0123856,358,134.98826599121094
1768414900.0888402,359,139.74464416503906
1768414909.8039865,360,130.81527709960938
1768414916.387545,361,129.06317138671875
1768414928.2167785,362,139.26095581054688
1768414934.494744,363,114.3642578125
1768414944.5594497,364,137.77188110351562
1768414954.9575658,365,152.7230224609375
1768414963.5940201,366,138.02035522460938
1768414967.963645,367,111.17488098144531
1768414979.9370167,368,147.7259979248047
1768414988.8902147,369,138.1280059814453
1768415000.180087,370,159.7281036376953
1768415004.2312334,371,107.65247344970703
1768415009.9843037,372,119.17909240722656
1768415020.3188176,373,148.24087524414062
1768415028.5014164,374,130.85397338867188
1768415041.2897503,375,158.7838134765625
1768415045.97708,376,117.8532943725586
1768415055.4196162,377,146.52377319335938
1768415064.065349,378,136.93960571289062
1768415073.780125,379,139.5174560546875
1768415081.1579404,380,137.58250427246094
1768415087.5906916,381,127.41980743408203
1768415095.1369963,382,123.13856506347656
1768415103.9421685,383,133.1365966796875
1768415116.4157932,384,151.94293212890625
1768415122.534078,385,125.44194793701172
1768415124.9999866,386,107.20307159423828
1768415128.7249591,387,116.36310577392578
1768415141.67709,388,163.16114807128906
1768415151.741729,389,146.89370727539062
1768415160.8638818,390,145.23516845703125
1768415169.7823565,391,146.3820343017578
1768415176.807763,392,136.29747009277344
1768415185.452819,393,129.4176788330078
1768415197.2194924,394,155.33888244628906
1768415202.0501418,395,119.49647521972656
1768415211.6503704,396,142.32769775390625
1768415222.1491766,397,149.9567108154297
1768415228.744761,398,130.5602264404297
1768415234.070154,399,121.55213928222656
1768415245.7380931,400,161.03045654296875
1768415256.4614403,401,149.3271026611328
1768415261.2625766,402,112.03565979003906
1768415269.8652604,403,140.83489990234375
1768415279.7949483,404,150.20899963378906
1768415293.0596998,405,164.2009735107422
1768415295.5263298,406,104.49301147460938
1768415306.7255626,407,143.24368286132812
1768415312.6384032,408,124.95112609863281
1768415325.563786,409,155.4287109375
1768415331.9868567,410,125.83909606933594
1768415338.7170997,411,135.05105590820312
1768415341.182852,412,107.92321014404297
1768415349.5031354,413,132.31854248046875
1768415359.5928237,414,149.55471801757812
1768415366.4930704,415,129.29893493652344
1768415375.9450452,416,140.95553588867188
1768415385.8742678,417,146.0757598876953
1768415395.1594105,418,140.9374237060547
1768415403.7970939,419,143.9330596923828
1768415413.716896,420,137.72840881347656
1768415419.6744328,421,115.7279052734375
1768415426.7123618,422,134.6068572998047
1768415431.8794603,423,124.89281463623047
1768415438.7902482,424,134.72512817382812
1768415444.0674534,425,110.34842681884766
1768415454.4055464,426,152.47787475585938
1768415462.24865,427,137.43499755859375
1768415469.637488,428,131.51043701171875
1768415476.9830422,429,132.12600708007812
1768415482.6155272,430,124.975830078125
1768415498.4270048,431,170.10214233398438
1768415503.2759514,432,117.18053436279297
1768415510.3470461,433,134.91957092285156
1768415518.0548203,434,132.57713317871094
1768415526.068479,435,135.66717529296875
1768415535.2027245,436,139.6679229736328
1768415549.5807004,437,169.5605010986328
1768415559.1920998,438,140.85079956054688
1768415565.7415013,439,128.77696228027344
1768415573.5826695,440,139.40501403808594
1768415580.6437638,441,132.19712829589844
1768415587.688441,442,129.87100219726562
1768415596.7661877,443,141.7662353515625
1768415599.6953723,444,111.23588562011719
1768415607.9814353,445,143.0627899169922
1768415613.9381914,446,129.8031768798828
1768415626.4997249,447,148.89547729492188
1768415637.4953454,448,144.3065948486328
1768415648.4703665,449,158.0482177734375
1768415660.783534,450,146.56124877929688
1768415665.924798,451,115.35047149658203
1768415673.106076,452,125.45038604736328
1768415682.0231009,453,140.5723114013672
1768415692.677209,454,151.93023681640625
1768415702.7035193,455,139.9431610107422
1768415707.8574421,456,119.70596313476562
1768415721.760302,457,158.43008422851562
1768415730.5740523,458,146.1273651123047
1768415742.7273645,459,161.7317657470703
1768415752.5973825,460,151.1988525390625
1768415759.7807674,461,125.85906982421875
1768415764.4240582,462,107.77872467041016
1768415772.6056664,463,136.88792419433594
1768415780.3134303,464,134.20594787597656
1768415785.6389074,465,121.87706756591797
1768415793.346975,466,133.44358825683594
1768415802.6199987,467,145.57859802246094
1768415807.4691002,468,106.77230072021484
1768415814.6979887,469,134.48472595214844
1768415826.0331674,470,155.91619873046875
1768415838.2768304,471,156.77085876464844
1768415847.0921922,472,144.96554565429688
1768415855.7527063,473,138.68417358398438
1768415864.8758917,474,145.1795196533203
1768415868.4059706,475,114.54602813720703
1768415870.709982,476,104.66504669189453
1768415874.750104,477,113.01959991455078
1768415881.9621508,478,130.23031616210938
1768415893.0030599,479,148.09982299804688
1768415907.2214973,480,163.50599670410156
1768415913.9283879,481,131.22984313964844
